ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
64,1695,-36.0558,148.7206,Eucumbene, Lake,Australia,Oceania,SWBD,2,6629,121.46,241.55,6.1799998,4800,4800,2,39.5,2.959,18775.1,1154,6.3200002,671.8,148.62013,-36.125399
2672,113720,31.7892,-96.068,Fairfield, Lake,United States of America,North America,SWBD,2,1250,7.94,27.65,2.77,87.4,87.4,2,11,0.7,1445.1,97,2.0899999,92.2,-96.045259,31.810417
10327,113967,29.9286,-96.7337,Fayette, Lake,United States of America,North America,SWBD,2,1301,9.09,19.88,1.86,109.3,109.3,2,12,0.137,9233.9,117,1.55,14.9,-96.73111,29.915637
271,730,47.8752,-114.1109,Flathead,Unkownn,United States of America,North America,SWBD,2,316,486.65,248.71,3.1800001,2209.2,2209.2,2,4.5,315.773,81,880,7.25,18296.1,-114.232292,47.676175
263,309,63.3347,-97.332,Forde,Unkownn,Canada,North America,CanVec,1,0,265.7,458.2,7.9299998,3394.25,0,3,12.8000002,329.941,119.1,80,1.91,56030.1,-97.19499,63.5906
2389,7769,50.5397,-113.7053,Frank, Lake,Canada,North America,CanVec,1,0,10.97,32.32,2.75,10.97,0,3,1,1.997,63.6,1000,0.4,358.4,-113.703594,50.541063
8769,943,-20.6868,-46.2085,Furnas, Reservoir,Brazil,South America,SWBD,2,2392,928.08,2431.44,22.5100002,22950,22950,2,24.7000008,858.105,309.5,761,-1,51982.1,-46.313563,-20.668972
2257,177203,24.6899,74.7361,Gambheeri, Reservoir,India,Asia,SWBD,1,0,1.36,14.24,3.4400001,1.88,0,3,1.4,5.711,3.8,423,0.65,1033.9,74.731306,24.701374
98,2,66.0359,-121.2671,Great Bear,Unkownn,Canada,North America,CanVec,1,0,30450.64,5331.72,8.6199999,2200000,0,1,72.1999969,535.187,47577.7,145,-1,147665.4,-123.505546,65.138384
72,67,41.1869,-112.5989,Great Salt,Unkownn,United States of America,North America,Other,1,0,6478.85,802.83,2.8099999,22800,0,1,3.5,214.57,1229.8,1282,-1,86895.5,-112.83125,41.410417
99,3,61.48,-114.58,Great Slave,Unkownn,Canada,North America,CanVec,1,0,26734.29,9814.16,16.9300003,1580000,0,1,59.0999985,4350.692,4203.2,148,-1,995312.3,-117.617115,61.311727
67,73,7.5115,-62.8473,Guri, Lake,Venezuela,South America,SWBD,2,2294,3661.1,4704.71,21.9300003,135000,135000,2,36.9000015,4348.397,359.3,270,-1,87349.9,-62.997917,7.764054
1337,1334538,51.169,12.4553,Hainer, Lake,Germany,Europe,SWBD,1,0,0.34,2.79,1.35,1.72,0,3,5.0999999,2.706,7.4,92,4.5700002,432.4,12.452083,51.170414
309,270,64.5034,-117.7034,Hardisty,Unkownn,Canada,North America,CanVec,1,0,384.88,1027.37,14.7700005,10351.8,0,3,26.8999996,60.588,1977.5,186,3.3499999,16707.1,-117.835417,64.820566
